Feature,Importance,Molecule_Type
mRNA_FAM127A.8933,0.0296,mRNA
mRNA_NDST3.9348,0.0291,mRNA
mRNA_CA1.759,0.0232,mRNA
mRNA_FBLN1.2192,0.0209,mRNA
mRNA_HOXB9.3219,0.0207,mRNA
miRNA_hsa.mir.1266,0.0198,miRNA
mRNA_L3MBTL4.91133,0.0184,mRNA
mRNA_MMP9.4318,0.0181,mRNA
mRNA_PTPRD.5789,0.0178,mRNA
mRNA_MRC1.4360,0.0177,mRNA
mRNA_TRH.7200,0.0175,mRNA
mRNA_NRP1.8829,0.0174,mRNA
mRNA_PTGDS.5730,0.0165,mRNA
miRNA_hsa.mir.195,0.0156,miRNA
mRNA_ZNF462.58499,0.0154,mRNA
mRNA_SYTL4.94121,0.015,mRNA
mRNA_LPO.4025,0.0139,mRNA
mRNA_ENPEP.2028,0.0138,mRNA
miRNA_hsa.mir.1977,0.0136,miRNA
miRNA_hsa.mir.9.2,0.0131,miRNA
